"Year","OPR","DPR","CCWM"
2008,0.317680227738821,0.0171268601598413,0.321752643953278
2009,-2.3637669388957,-0.933048886260379,-2.33704456133083
2010,1.27739790445221,-0.572210321641918,0.690308013477682
2011,-0.0921976068818936,0.249595157860248,0.106639449949027
2012,-1.02585596495572,0.558500963531059,-0.679050026997642
2013,-0.654535301789059,-1.00316390117636,-1.63023570325098
2014,0.000397663795032383,1.44037523342816,1.03508779181608
2015,-0.0291650990863707,0.86035634887505,0.947023774068941
2016,-0.0814718250663451,0.542077124270454,0.437914057010335
2017,0.127572529761354,1.16596821271412,1.25761406296165
2018,-0.710349428130547,0.261318526308924,-0.366848325571063
2019,-1.17722535762752,-0.724997010080193,-2.07826115619808
