"Year","OPR","DPR","CCWM"
2007,-0.914683806076192,-0.565066160703816,-1.02162001077288
2008,-0.996577608369026,1.31487679689584,0.133228385410989
2009,1.68355699367984,-0.401923164906862,0.965660147626699
2010,3.34062086419877,-0.849062554605574,2.33371675944042
2011,3.7465280575779,-0.857692634404954,3.03573154117023
2012,3.40283182950477,-0.578282217491729,3.40384302294328
2013,2.55122016755399,-0.840155044623094,2.22692584240664
2014,3.70648401829532,-0.403329192613876,3.18862417235473
2015,5.27470953552505,-1.57735709301091,5.46371054913017
2016,4.68401416477322,-1.51546434704316,4.67170345703696
2017,2.02484570154775,-1.99463672622091,0.663783713105069
2018,2.16749199762418,0.802054451713553,1.97832308539336
2019,3.22370123302315,-1.16734024205617,2.95383666229969
