"Year","OPR","DPR","CCWM"
2008,-0.693582091205732,1.56787341354205,0.637685195941049
2009,-0.947129250966948,-0.149732128411857,-0.789550028498413
2010,-0.81571641497137,-0.648051729583392,-1.26808389720026
2011,-0.042391176390961,-2.33511545600196,-1.89537064164658
2012,1.61866973580336,-0.166537819878093,1.71722266683067
2013,1.25219232868121,0.529649875088412,1.91150953520436
2014,2.11008548713365,-0.685839620596542,1.48753345061281
2015,0.3133264263848,-1.18775212338323,-0.930852322205158
2016,1.54769163928112,-1.02713126847454,1.01370680848612
2017,1.0793628197106,-0.644521722950069,0.747985966170256
2018,0.855297886695274,1.20627419808828,1.25850326094423
2019,0.918015778072735,0.0640105411734001,1.18536461595511
