"","OPR"
"frc80",15.5601505184005
"frc368",13.5008143136544
"frc399",11.9791697240465
"frc702",12.8766724988722
"frc498",6.52302244127692
"frc861",16.1377857319001
"frc691",10.7169074178892
"frc524",14.4291576296202
"frc22",13.7909524496504
"frc597",11.0693558641736
"frc980",12.9562567584986
"frc974",4.96964255884464
"frc114",13.6066488229976
"frc968",15.0467792384605
"frc995",6.90344692593919
"frc698",14.8695897003546
"frc988",7.92087649921358
"frc634",15.5332114338319
"frc987",21.9726762289697
"frc697",9.52436377954094
"frc981",19.3901341631079
"frc64",11.8231536851279
"frc701",12.1856525520965
"frc599",10.332774902523
"frc989",14.4566726785027
"frc362",15.5624665572403
"frc991",17.2205617952518
"frc259",16.5378115603759
"frc850",15.7465907876608
"frc589",11.9871846300064
"frc478",18.0114292702925
"frc256",12.9240116934969
"frc591",15.3897743121566
"frc60",17.3608392372068
"frc330",13.2402187562821
"frc851",14.4391835713168
"frc853",12.2079398208693
"frc580",8.34918727082647
"frc842",21.2954735419492
"frc898",14.3562156405971
"frc576",13.2993859197334
"frc598",5.73239961676163
"frc294",12.3718409863366
"frc687",18.4179343053305
"frc295",12.5975867332563
"frc585",17.3122226264674
"frc207",14.722698164857
"frc606",10.0137887779557
"frc696",10.1368434039733
"frc700",17.3552949078159
"frc812",7.27252227902928
"frc492",14.4856916214987
"frc867",14.2308079095059
"frc376",11.8458663489258
"frc992",15.6884592761255
"frc990",9.67352424808503
"frc410",12.9367922229783
"frc996",12.1829396554451
"frc962",12.3728952556781
"frc848",16.1689626095175
"frc173",19.1725581044464
"frc71",12.1634556195361
"frc66",14.4457790975245
"frc233",13.6390403650881
"frc25",4.85468638563363
"frc118",10.7434670685035
"frc311",14.2264950180483
"frc308",9.35817111932837
"frc180",19.4087090874145
"frc144",13.9105337300411
"frc195",8.97749252103258
"frc88",12.4936813651208
"frc571",15.2892871722298
"frc839",19.3804897463123
"frc138",15.9983221319188
"frc95",17.5437394322031
"frc505",16.7732088323198
"frc501",8.14974520333429
"frc38",12.7120895782287
"frc96",15.9092733239478
"frc241",8.6425449798972
"frc271",14.5835131073093
"frc175",20.7753252169181
"frc716",6.70213379413012
"frc287",14.5025096514687
"frc237",14.3909910489691
"frc512",13.033293604404
"frc348",15.6673104879228
"frc126",24.2468390203023
"frc319",19.1098733715955
"frc103",16.3323962504775
"frc236",18.8821646614425
"frc178",11.5142273533887
"frc230",11.0961253533144
"frc140",19.6640878666153
"frc151",10.1861887832044
"frc131",12.8932135067916
"frc809",12.1949579595197
"frc984",9.70223915548924
"frc394",-0.457268694751917
"frc145",12.13699391785
"frc293",20.2792268435725
"frc811",14.9943577885108
"frc213",20.9701103074742
"frc546",15.7386188406865
"frc40",8.23718275268117
"frc133",15.0963869543435
"frc782",26.624779712291
"frc228",15.4278904279843
"frc467",15.7018735673434
"frc562",21.9987557285631
"frc166",20.4993866376042
"frc177",15.4633945417873
"frc246",17.4949453139342
"frc42",21.1599938306368
"frc500",10.1793490555149
"frc134",16.3903061506177
"frc238",21.0274002288971
"frc521",15.9579569312928
"frc250",12.2149731839911
"frc58",21.8800448047592
"frc155",7.21074992709186
"frc999",10.9753626395085
"frc69",22.4389159494061
"frc176",14.610375300118
"frc121",19.591537075561
"frc596",9.91101919705087
"frc558",15.0110830866389
"frc97",13.905768033032
"frc125",13.929041081986
"frc157",18.4895431776224
"frc181",15.8285586666415
"frc186",10.6831785937562
"frc343",9.02463541124571
"frc105",11.8097724447432
"frc278",16.1178741464315
"frc393",7.82149471799764
"frc804",17.5983727789128
"frc179",9.97147299755894
"frc57",14.3935645944976
"frc411",17.1381900306116
"frc61",9.13194642188952
"frc79",13.7010871324145
"frc415",11.2475496363017
"frc59",8.05550940532708
"frc588",15.7609691277789
"frc408",11.0824838566155
"frc685",16.8393405692335
"frc866",10.5759389059441
"frc582",6.06897994208196
"frc801",11.1922933391804
"frc780",24.7941781704827
"frc342",11.8925664842612
"frc168",12.6302748428208
"frc395",15.1477775666014
"frc946",15.9240115308273
"frc386",14.6899636406719
"frc654",18.0794570906918
"frc665",13.7372837002128
"frc832",11.9851972414343
"frc267",15.5648374894659
"frc901",13.347383068257
"frc945",18.0770422246821
"frc86",16.4154839221199
"frc547",11.9280641288025
"frc710",19.6572433887893
"frc459",13.4528374635925
"frc21",15.8268177202062
"frc108",15.2952152111704
"frc690",12.6482654903035
"frc507",6.78147047130156
"frc212",11.3205470138365
"frc947",17.9968805016476
"frc147",25.5801205383852
"frc312",10.5228986704897
"frc538",12.1008627616566
"frc247",10.6018286220514
"frc68",12.9557826600787
"frc274",12.5942383716523
"frc440",19.5832420791553
"frc279",8.99800864216109
"frc910",10.4644597501775
"frc33",13.124307462299
"frc302",7.23022897256205
"frc1",9.4724435735524
"frc560",18.4194658644586
"frc249",10.9916566575288
"frc245",8.89710940594858
"frc557",18.4697182217579
"frc326",8.13351794749065
"frc280",22.0893062568985
"frc184",15.5491420285469
"frc453",13.4989872230602
"frc862",13.319880931095
"frc65",16.0770487705396
"frc292",13.4705904693225
"frc903",14.1483335755246
"frc47",16.6975607145921
"frc703",13.4107917432533
"frc548",12.372262345145
"frc468",8.35090138824283
"frc5",11.6265183575672
"frc111",13.8479214533898
"frc301",16.0328972273639
"frc182",11.1798891678455
"frc515",15.3711470519687
"frc471",15.4187485517882
"frc451",17.148867797914
"frc815",13.0412842795991
"frc830",14.8679873099036
"frc902",16.8736378113827
"frc379",17.6969749008523
"frc226",16.7890477624851
"frc573",14.6806370457035
"frc835",20.248291721325
"frc94",12.1145876746722
"frc217",14.4656358386338
"frc67",14.5615774429022
"frc406",6.89280032449648
"frc188",11.5704951052928
"frc494",17.1086031932082
"frc314",13.5697749547353
"frc313",18.5492956993276
"frc894",24.8196839056049
"frc822",9.79647432063605
"frc469",8.48172115953418
"frc503",11.8127429304359
"frc240",12.5898897277169
"frc818",14.250512506894
"frc322",8.85342488732369
"frc397",11.6145464913892
"frc49",17.6188495901629
"frc470",16.5228559053589
"frc123",9.18241327531112
"frc519",13.6828695311469
"frc658",12.1323893698069
"frc107",16.8315994194443
"frc868",12.5019083446701
"frc70",11.6803279633463
"frc461",13.755458255737
"frc648",12.5249015371169
"frc167",6.64622771613941
"frc554",13.831097033423
"frc85",11.0331206279621
"frc858",10.4916901488841
"frc235",9.97329578880393
"frc930",10.1388952510701
"frc857",18.581035912124
"frc6",15.5197467082848
"frc93",13.0590984526594
"frc109",16.3009330810564
"frc101",13.4698441895684
"frc269",15.5235984376214
"frc141",17.9963596901843
"frc201",4.83259934365596
"frc45",15.5733375352413
"frc391",20.9729430254429
"frc447",13.5193996249348
"frc664",16.7720515035709
"frc754",13.8977163231284
"frc112",17.0612708518923
"frc10",20.6946321207357
"frc135",15.8089962512056
"frc677",5.95159908144182
"frc706",18.1653506629974
"frc537",13.0389378797324
"frc92",11.2103269858917
"frc9",15.6815470524131
"frc74",16.2978860999875
"frc224",18.6083121736521
"frc545",11.7317736612675
"frc358",13.0853923176592
"frc56",9.70835003710314
"frc870",8.97805529574692
"frc569",12.505363776666
"frc263",9.20216445174953
"frc533",15.1419380598716
"frc417",4.38571321290766
"frc601",14.6849465480194
"frc564",16.5621993795492
"frc502",12.672057709407
"frc884",14.5639541210016
"frc352",11.8150979618274
"frc506",14.0639541210015
"frc270",17.4729256850656
"frc136",11.4370953351992
"frc871",19.072057709407
"frc341",8.65939912346937
"frc570",12.8052451740631
"frc496",16.9208532315968
"frc30",14.3346087689098
"frc329",17.2954481848637
"frc381",12.0960325686202
"frc353",17.3664127223956
"frc28",13.9315243492209
"frc889",13.7249899934913
"frc514",8.36641272239567
"frc810",12.2310979150029
"frc27",13.1641575919802
"frc808",15.2562974890305
"frc904",23.7376360809953
"frc288",18.876394185593
"frc518",17.2091944300607
"frc535",17.5596968698974
"frc888",9.00655912084679
"frc128",14.4985517447296
"frc688",10.0289573303122
"frc493",17.9562906089688
"frc317",13.7638011990736
"frc171",10.7706335602784
"frc650",4.25672169613007
"frc942",13.5742173859303
