"","DPR"
"frc128",24.7242624726631
"frc688",22.3937875083483
"frc493",17.8801191335866
"frc317",9.45155479704417
"frc171",5.7299099123192
"frc650",14.4769094315362
"frc942",17.2636240470898
"frc892",9.23582746361488
"frc936",14.0894232948645
"frc31",12.0108275035999
"frc876",14.695662470803
"frc969",21.7707747490259
"frc476",12.7921827970416
"frc967",14.8818308054295
"frc874",16.9973608792302
"frc934",13.9586706674518
"frc931",10.9464502439633
"frc807",13.3534459277966
"frc933",15.4148504942087
"frc943",11.9157376441565
"frc982",13.0256911696579
"frc906",22.1386894602745
"frc935",14.1085927933087
"frc932",17.5037966450428
"frc770",15.5327976112896
"frc873",17.0590247761053
"frc765",15.5219236311634
"frc525",13.6823820166125
"frc938",18.442000550106
"frc462",19.1587845769452
"frc879",20.3520923833745
"frc877",13.7029440194371
"frc880",9.76653170392609
"frc939",17.0798753909058
"frc875",19.4895088910639
"frc81",19.8690301713818
"frc878",15.4827580026378
"frc662",22.9329702359422
"frc909",20.9865665005855
"frc937",16.2177385553273
"frc755",13.3767901930302
"frc34",14.3463064509059
"frc764",10.7977985156925
"frc16",11.2306050611518
"frc940",12.7219664264586
"frc869",8.63793849458181
"frc881",14.3485378931709
"frc941",11.1444885898776
"frc356",16.1740388394474
"frc382",16.2513250003918
"frc383",16.6022518793784
"frc291",11.1264724418554
"frc165",15.0331620347801
"frc609",10.0718001746384
"frc955",16.4175698973453
"frc378",14.9088495541484
"frc159",15.4777711698603
"frc84",10.3177253652957
"frc276",22.186893201343
"frc174",14.4467726921699
"frc753",14.2296932693051
"frc400",14.5468223968469
"frc781",9.90731579675815
"frc752",11.8530326857976
"frc540",15.361264316535
"frc954",15.2132338717166
"frc541",23.848990612097
"frc384",13.0377509736845
"frc75",14.0109141860356
"frc365",4.70330247007406
"frc398",11.2011308917828
"frc374",15.2465006798621
"frc522",9.60624560611871
"frc714",12.523187264338
"frc284",17.161484553394
"frc281",13.1996663923862
"frc158",21.5532085617146
"frc568",19.9290468895077
"frc964",14.9994273846903
"frc7",9.49658697526746
"frc339",4.82961887157657
"frc102",15.1175085946688
"frc529",14.782912603726
"frc303",12.1106902367899
"frc885",14.3557820682537
"frc211",9.48325789393189
"frc203",18.6213254985128
"frc613",18.714249988463
"frc663",16.8949961876834
"frc637",15.4607604324973
"frc219",19.9719864707271
"frc209",17.7157803312657
"frc223",22.4255039103694
"frc11",14.6325010401565
"frc551",16.3353041724018
"frc555",20.9212138290331
"frc550",18.2155748676813
"frc549",7.60034337940784
"frc679",14.0191401130311
"frc335",18.5046959420202
"frc574",18.1418294319553
"frc694",14.103270567834
"frc354",10.4364213353078
"frc421",14.7377359139912
"frc640",10.5404305568559
"frc340",15.4370627733851
"frc331",22.6096471599331
"frc759",12.2480745473284
"frc19",12.4910185989317
"frc743",23.5960983209443
"frc639",8.68383676623537
"frc371",13.2788984443745
"frc711",13.9617513547403
"frc334",17.8697049941179
"frc333",17.7617513547403
"frc806",11.1079822702642
"frc655",14.3399943004896
"frc887",25.2312935284974
"frc375",11.2096043460759
"frc380",16.1811892113716
"frc713",13.8633915361115
"frc896",24.9488321847277
"frc41",8.75215956144072
"frc859",10.4017632448231
"frc234",22.2523366019042
"frc48",15.0685108452147
"frc872",7.18270359133579
"frc963",5.72718775483011
"frc448",10.2186354722326
"frc191",16.5848318361719
"frc642",22.9644372134258
"frc695",20.9636634619213
"frc117",16.1508002399299
"frc652",18.0027403839715
"frc254",11.0304834648335
"frc306",23.4039426862754
"frc229",5.63256373160538
"frc578",14.6460653832772
"frc883",13.1020833411184
"frc970",13.4717146246604
"frc979",12.4250299056531
"frc120",19.0918413061402
"frc966",10.9641746702297
"frc779",20.1462201505772
"frc829",19.0372986804733
"frc758",7.07015710025605
"frc610",8.91033844093756
"frc865",8.68872478737116
"frc891",5.12452434794877
"frc222",13.1840621368805
"frc773",19.0893026092654
"frc849",13.0482501092798
"frc783",13.9674532234398
"frc912",13.5753777527774
"frc772",24.3602098428701
"frc913",18.9600192885523
"frc296",15.3886109579663
"frc776",15.8215721302341
"frc919",10.4592314182097
"frc907",18.0262516598246
"frc843",14.6813037854664
"frc641",25.656914595403
"frc771",22.245973825464
"frc886",23.5758744674948
"frc897",20.1136141065499
"frc918",14.5704014507651
"frc63",5.69152112353212
"frc820",18.7536895566023
"frc917",22.6307233100956
"frc854",15.2340133987771
"frc914",15.9902526519102
"frc915",17.8439747832199
"frc863",14.8602365370168
"frc643",10.8029136262074
"frc122",13.9103723278704
"frc484",11.096351316655
"frc433",17.8819590942388
"frc834",18.7968253169912
"frc225",14.0503736251744
"frc651",10.267065801342
"frc316",15.8729739467473
"frc419",21.829595593344
"frc300",16.4146779656595
"frc920",18.0508012928492
"frc444",17.663377520378
"frc565",16.2143397495034
"frc87",11.8806964064216
"frc708",15.2903577333443
"frc802",20.2276618612731
"frc357",15.2677914745322
"frc204",18.4623714454039
"frc561",14.1417653354751
"frc367",7.93841095251829
"frc816",14.2027528470195
"frc612",10.8974718411851
"frc486",7.79405317827531
"frc304",21.0740809201141
"frc709",18.479383958418
"frc563",14.9843672063881
"frc487",13.1222323264731
"frc528",14.534248041067
"frc272",8.47116034574896
"frc618",23.1507387598435
"frc104",11.3558567936092
"frc115",6.99181453586863
"frc298",10.0017660040319
"frc409",17.8738047842508
"frc973",18.3177990880036
"frc8",6.82854534095696
"frc100",8.74768064336179
"frc190",13.370822076179
"frc852",13.3526841990876
"frc581",9.52208417391388
"frc751",20.104424601638
"frc480",18.5276348862376
"frc675",10.0359406629316
"frc827",15.5099164604541
"frc840",10.6878188218824
"frc258",19.9322161942979
"frc831",15.8502872825169
"frc481",14.3990559087173
"frc192",8.09974542764824
"frc692",15.5038699563584
"frc632",11.9379890308949
"frc636",16.9748864590556
"frc814",11.5014438365658
"frc645",17.6003503323316
"frc253",9.6599375681965
"frc668",17.4563032748453
"frc649",21.0852295856087
"frc971",17.4763245093003
"frc846",10.6461082070911
"frc766",15.485959790681
"frc605",23.6375749637125
"frc841",20.7809623253585
"frc255",20.939733800812
"frc604",14.4922253156428
"frc972",15.9159651564539
"frc359",9.77700661553556
"frc457",2.16520656161241
"frc456",15.9324026563442
"frc607",15.1502262094521
"frc922",15.9163269933948
"frc624",16.0797964054663
"frc704",16.7241185666595
"frc635",4.77831416938256
"frc437",10.5717441328979
"frc446",10.146584292472
"frc899",11.1513726793919
"frc908",23.1693214177947
"frc653",14.4724597924794
"frc659",15.7193729518636
"frc660",14.0857801164274
"frc750",13.5663193535684
"frc148",19.0452866670047
"frc215",14.6951742344597
"frc644",14.8122334467794
"frc231",17.3837675405433
"frc647",20.7347493103568
"frc364",14.2056056593847
"frc418",11.2604907363461
"frc434",18.4006395998326
"frc438",20.1557512424981
"frc441",11.8799325811848
"frc442",12.8692201210438
"frc499",21.4442630801522
"frc513",19.1571259072303
"frc590",6.64934087414288
"frc623",7.19867522879433
"frc686",18.5138288469689
"frc926",11.2686998053852
"frc602",10.6629133074223
"frc927",20.294400765648
"frc615",11.1745691057588
"frc977",17.334886214474
"frc405",16.9029792379175
"frc928",7.72947832145375
"frc616",12.4750918070035
"frc346",19.7876695347658
"frc401",19.6912104186768
"frc587",15.2971982092278
"frc435",22.9781631001474
"frc845",8.86555558780875
"frc449",8.51303120095577
"frc900",12.9064834530411
"frc617",12.7964002190894
"frc768",10.0977030919156
"frc619",20.049515252483
"frc837",16.4816248553611
"frc620",13.2072012154225
"frc825",5.83634988677459
"frc622",17.5653270647209
"frc975",10.2203042164548
"frc614",9.5667063502654
"frc836",14.4166783461623
"frc905",7.31174033607398
"frc611",12.1286201620545
"frc497",16.0787221093403
"frc510",9.28943777198873
"frc337",8.68926438355696
"frc404",17.8580309441198
"frc53",8.98387330730638
"frc539",21.8463567582013
"frc345",22.7193611661743
"frc414",19.5115405365811
"frc416",16.6450813888023
"frc638",21.1388624300045
"frc116",16.8821561006257
"frc769",16.7444154587904
"frc976",17.3940710830275
"frc925",15.5445185627247
"frc600",20.2308575588427
"frc422",12.6526795465359
"frc833",6.18655277145057
"frc628",12.6523817162975
"frc961",10.3696716724089
"frc948",17.7999188801264
"frc633",11.7569396169773
"frc950",3.50568081943731
"frc997",17.7917475641324
"frc957",17.1897020957075
"frc443",13.7602713367395
"frc998",6.90685317780105
"frc800",10.9835789990211
"frc949",11.4003001717081
"frc953",8.49248172648083
"frc488",10.0127004233854
"frc847",12.1052777294512
"frc824",10.4628056632777
"frc805",12.9171889743324
"frc583",16.8082133158518
"frc473",18.6393456767505
"frc959",14.288490297757
"frc956",10.6466646296383
"frc360",22.4780725060926
"frc960",18.2775954058365
