"2019","OPR","DPR","CCWM"
"frc5015","29.1289667926488","21.6879923680978","7.44097442455099"
"frc6485","29.8775202410451","20.4635173964553","9.41400284458979"
"frc7246","13.7177068366544","20.130982657466","-6.41327582081163"
"frc1482","10.8093971929474","19.6244641031415","-8.81506691019407"
"frc4010","10.9011864693855","15.3775196039273","-4.4763331345418"
"frc4191","16.9227937125712","19.2116634856456","-2.28886977307439"
"frc3250","16.9345344530347","17.2110604547493","-0.276526001714604"
"frc7591","10.8896742030643","11.9350843390384","-1.04541013597409"
"frc7799","10.8341187259701","15.9744317837176","-5.14031305774748"
"frc3216","12.3388197920192","8.81565533846528","3.52316445355395"
"frc6188","23.6269080631872","22.0431185279107","1.58378953527645"
"frc4604","15.102394111459","18.6145099058041","-3.51211579434509"
"frc6823","20.6288595720937","19.2114974980506","1.41736207404315"
"frc4774","19.9811514834567","15.1327598554335","4.84839162802322"
"frc3729","14.4506538694904","17.316991379525","-2.86633751003461"
"frc5597","8.20443205949389","17.9646605243206","-9.7602284648267"
"frc2122","32.0242819916052","26.9576669412244","5.06661505038078"
"frc4627","26.5714066698459","13.7938086398173","12.7775980300287"
"frc5725","8.657737143908","10.2580346631914","-1.6002975192834"
"frc4334","24.8430009195925","13.3634144149814","11.4795865046111"
"frc359","34.8770447655846","15.9366277847155","18.9404169808691"
"frc4733","15.078400634641","21.9554984801942","-6.87709784555327"
"frc7706","9.77843799770064","9.75562018879479","0.0228178089058471"
"frc5078","11.5156803784961","19.0005025262519","-7.48482214775578"
"frc6179","6.6789962070302","19.4016006052792","-12.722604398249"
"frc6351","16.8583546280838","14.9071363474757","1.95121828060816"
"frc6178","12.8351881786941","13.9906084304487","-1.15542025175462"
"frc4625","8.74190070642231","13.0594924841812","-4.31759177775894"
"frc5118","13.1179049868474","15.7628497351681","-2.64494474832064"
"frc1622","19.277852560086","17.4895347031065","1.78831785697949"
"frc7205","12.9652231908398","13.9222108494919","-0.956987658652128"
"frc6701","3.62897636905494","25.0355463957904","-21.4065700267354"
"frc7843","11.5688392127185","21.6124894436836","-10.043650230965"
"frc6041","8.99662253402309","14.2430074012652","-5.24638486724207"
"frc7277","13.0672220977092","26.47263291684","-13.4054108191308"
"frc6700","5.64255952906081","11.1468278361138","-5.50426830705297"
"frc6841","20.2488403196116","19.6635804129943","0.58525990661731"
"frc364","30.1026409069261","15.5884722221597","14.5141686847664"
"frc4451","27.0558639798861","18.2904572741499","8.76540670573627"
"frc7072","22.2966471693411","20.2471325792717","2.0495145900694"
"frc3959","26.1653867474842","15.4225106445479","10.7428761029363"
"frc4924","19.8118050862417","9.95194837368116","9.85985671256057"
"frc2815","10.9671135280837","12.7010777092043","-1.73396418112056"
"frc2556","24.3139598644232","24.347995676734","-0.0340358123108295"
