"","CCWM"
"frc80",6.53263153492599
"frc368",2.83893090824242
"frc399",0.743872713496843
"frc702",-3.43883927798043
"frc498",-11.1661808315365
"frc861",3.63773277045023
"frc691",-1.66363533997639
"frc524",3.69237200537953
"frc22",5.92044468334743
"frc597",-5.60073612345251
"frc980",0.398242907817837
"frc974",-11.6826715890823
"frc114",0.78210270502357
"frc968",-0.353358944758753
"frc995",-6.84860336381779
"frc698",-0.434240340042201
"frc988",-9.80142714385769
"frc634",3.71280973154036
"frc987",17.3562715052786
"frc697",-6.96789251259423
"frc981",3.71175864251048
"frc64",-1.18103510591923
"frc701",-2.07107588789701
"frc599",-1.34903617474689
"frc989",-0.351218980087463
"frc362",-4.09275722826037
"frc991",7.99940380182908
"frc259",-1.97128879285346
"frc850",-5.65486095771703
"frc589",0.475441718819757
"frc478",0.966351874732108
"frc256",-0.574833431258085
"frc591",-0.770479197255035
"frc60",12.2148894593721
"frc330",5.25831549497298
"frc851",7.0076504411766
"frc853",-5.08146720502678
"frc580",-0.782588492371044
"frc842",11.8069158543583
"frc898",-5.38627048436583
"frc576",-3.25710171186084
"frc598",-8.29716969405233
"frc294",-5.70121485078725
"frc687",-0.805773063064258
"frc295",-3.71095383802711
"frc585",4.87309626200556
"frc207",2.19104956278852
"frc606",-8.77566356887962
"frc696",-3.67886002512893
"frc700",3.51869050905046
"frc812",-15.6034240071804
"frc492",1.91593364829015
"frc867",-1.84629609685174
"frc376",3.88726841275998
"frc992",0.413443446194684
"frc990",-5.90393090489632
"frc410",-7.4123389818967
"frc996",-8.68302945270936
"frc962",-2.12888257722894
"frc848",-0.768851828749607
"frc173",5.71005062327492
"frc71",6.17566199581675
"frc66",5.72484744348189
"frc233",-0.787042558835816
"frc25",-5.42174033702961
"frc118",1.70971408568809
"frc311",4.67572949374623
"frc308",-1.67624580721468
"frc180",13.1480884696462
"frc144",-4.0352602930432
"frc195",0.874273221167453
"frc88",-2.39612553365289
"frc571",-0.0758582129934613
"frc839",6.67072524864484
"frc138",4.91470175165035
"frc95",-1.90619506334187
"frc505",-1.8781891935904
"frc501",-16.5640198409561
"frc38",6.94106946870138
"frc96",1.41586550428124
"frc241",-5.28303817969983
"frc271",4.03795687597892
"frc175",4.18141367933261
"frc716",-2.89184991478622
"frc287",0.110251318605311
"frc237",-0.151321737517705
"frc512",-12.3480052904247
"frc348",7.72908903109811
"frc126",-3.38148967952906
"frc319",3.7973083637155
"frc103",1.16238596619362
"frc236",-5.08645137717388
"frc178",-5.14990451893982
"frc230",0.655634003494161
"frc140",-3.77086603342479
"frc151",0.0387274099184527
