"Year","OPR","DPR","CCWM"
2007,-1.3698298088268,-0.160116863038804,-1.01186619828866
2008,0.473743150510003,-0.118323902702307,0.359710728356463
2009,0.566290422591972,1.10436408545349,1.13710171860791
2010,-0.0286155157354959,0.0557036704268815,0.0195429566526225
2011,0.648439920136586,0.344366567287719,0.9165504288563
2014,-0.482228355673355,2.78111289169036,1.54530437919882
2015,-0.776308865347625,0.946585350178615,0.0156767260763747
2016,-0.510555287105884,-0.191581041109193,-0.86836877468334
2017,-0.839736338364017,0.524512722044027,-0.560203240062275
2018,-1.23395449706747,0.0879918668533939,-0.833785241527289
2019,-0.335417337151076,1.97008366413889,1.29770108321356
