"Year","OPR","DPR","CCWM"
2008,-1.29058566379241,0.19661526762967,-1.08489784237742
2009,-0.366001888626239,-0.427867551430718,-0.547574664773217
2010,-1.152255005074,0.147113616900162,-0.923922921080171
2011,-0.952837077302194,-0.330927274448111,-1.20783817804355
2012,-1.29900656701446,0.711668709312722,-0.855830066609273
2013,1.2092745130807,-1.14073999502346,0.41041788341057
2014,-0.0880670368082928,0.215198762457121,0.0719443886939398
2015,-0.326466662553422,-0.286573680549436,-0.779027176217838
2016,-0.225439059159195,1.12207313474127,0.831314639936547
2017,-1.0121729869771,0.816173404923554,-0.50208650106963
2018,0.473446601063934,0.807451926608656,0.771677134911472
2019,-0.570547308601002,0.118955360376889,-0.598883024554682
