"Year","OPR","DPR","CCWM"
2007,2.03768219998871,1.0758094032777,2.13771032495721
2008,0.99821404132907,-0.824058817417532,0.27811542251939
2009,0.673290070212263,-1.16541310344909,-0.272180152398027
2010,0.322240821436108,0.806966350926209,0.950686500473735
2011,0.669324770995184,0.257902351168498,0.868643291707998
2012,-1.16418625336888,1.33474799399583,-0.137287946941499
2013,-0.161378859917946,-0.00561740879500635,-0.191921792651074
2014,1.28887302439763,1.25676431014026,2.11236195893362
2015,-0.0665526490570277,0.562880239306384,0.554119352793743
2016,0.746596759802598,-1.25388052131304,-0.274472349236907
2017,-0.525928304508904,0.326876451638083,-0.352387487568506
2018,2.10238459431908,0.691942515230568,1.87270157547978
2019,0.506777565355287,0.848949216314979,1.36077051407418
