"","overall_points","auto_points","ball_points","cp_points","endgame_points","foul_points"
"Average",67.1338582677165,28.2058823529412,32.0980392156863,0,30.5882352941176,8.64705882352941
"Stdev",45.1495508256453,11.7028711339612,19.0406078840069,0,19.9664832727429,10.7488401942376
