"","overall_points","auto_points","ball_points","cp_points","endgame_points","foul_points"
"Average",80.972972972973,25.2905405405405,28.0675675675676,0,29.5945945945946,11.25
"Stdev",36.5987520596781,12.2030738730341,19.1295839421072,0,19.8507484866638,16.4832939545419
