"","overall_points","auto_points","ball_points","cp_points","endgame_points","foul_points"
"Average",106.945205479452,34.2191780821918,43.9794520547945,0.205479452054795,36.472602739726,13.0684931506849
"Stdev",50.2529849272202,14.8479619642632,27.2010317192977,1.42353522160889,22.6910874818741,19.2262957625287
