"Year","OPR","DPR","CCWM"
2007,0.471026522589142,0.0701830339889496,0.35935972227341
2008,1.01264563571965,-0.525578128677622,0.541269475994767
2009,0.984188165781008,0.916900291371952,1.31933254958993
2010,1.73852857742364,-0.22270110852495,1.3934196876765
2011,-0.146815781556147,0.907974446331856,0.574997937865403
2012,-1.28813818577919,-0.187469897844496,-1.65570173284931
2013,0.724334453132246,0.192698532558768,1.00694635150968
2014,0.837203882960772,-0.863987371751397,0.165018661666929
2015,0.632308019494394,-0.144753302680341,0.70583587485649
2016,0.337205717092055,-0.634766728117329,-0.192868478924502
2017,1.23994533926643,-1.159844279166,0.464463034655427
