"Year","OPR","DPR","CCWM"
2007,-0.260597106079707,0.416874453711015,0.145296323412046
2008,-1.28694047547694,-0.00721869836738692,-1.25154105175211
2009,-0.00398591792478138,0.482477605808672,0.31325976929896
2010,-0.95728857934195,0.492978820389661,-0.464946113485253
2011,-1.02710204227184,-1.85580126278844,-2.49175946988669
2012,-0.666872330344785,0.882280104524179,0.027711124841144
2013,-0.955350952945211,0.372988771734109,-0.783190756373245
2014,-0.996293181540184,2.25324341360876,0.683675869837045
