"Year","OPR","DPR","CCWM"
2007,0.644012133591903,-1.56433558097283,-0.762394759153375
2008,0.836175293733379,-1.63319386358112,-0.554214862219552
2009,0.0700651335469094,-0.0999606565326223,-0.0143551970378913
2010,1.96991029686923,-0.633681301105577,1.26758648578349
2011,2.16914182107679,-0.0850552180445236,2.08422688938347
2012,1.21236226497568,-0.681218025319328,0.783369367375652
2013,1.36291533882472,-0.857868963866459,0.834268092543664
2014,2.08809469934172,-0.968214949355978,1.2640476816823
2015,1.73999092761429,-1.13270483657598,1.09964903467792
2016,2.72430341030426,-0.919220641017311,2.67908967978429
2017,1.34852588551628,-0.302050051062563,1.40816287935678
