"Year","OPR","DPR","CCWM"
2007,0.204968180011493,-0.11580892821488,0.0458640868003415
2008,0.872825079341986,-1.84590912597421,-0.696330437867349
2009,1.0990452980077,-0.313817483175097,0.596686843309621
2010,1.10295012464613,-0.54716608489438,0.552691498458271
2011,0.0813604894133149,-0.929424250755957,-0.656952051884774
2012,-0.0584334206902956,-0.208444822014728,-0.25576248018862
2013,-0.337213396365418,-0.202754322514075,-0.567003238415088
2014,-0.0591456085894809,-0.00307304768688486,-0.0577129512699859
2015,1.63413723815916,-2.08227905914806,-0.13593809847793
2016,-0.226757162000635,0.632297601674364,0.33651490357063
