"Year","OPR","DPR","CCWM"
2007,0.0543865130774557,0.221822725419835,0.20287783140536
2008,0.0684818302621509,-0.146124119658312,-0.0557144832718461
2009,-0.108527673965728,-0.184922749834326,-0.200408786506763
2010,-0.447703911821147,-1.23083015368099,-1.4103586195899
2011,-0.968913627805012,0.521806785686966,-0.54699312142771
2012,0.572412088130708,-0.450479580244199,0.253447383936575
2013,0.390777345991702,-0.14574109160212,0.326288134392231
2014,0.34352897365092,0.0498321562842409,0.3581835044672
2015,-0.472434679308808,0.342213434220108,-0.258792862441795
2016,-0.451284171848446,0.353699366485763,-0.241016048435781
